Date,EURO
1/28/1999,0.8757
1/29/1999,0.8799
2/1/1999,0.8847
2/2/1999,0.881
2/3/1999,0.8845
2/4/1999,0.8821
2/5/1999,0.8875
2/8/1999,0.8831
2/9/1999,0.8845
2/10/1999,0.8826
2/11/1999,0.892
2/12/1999,0.8845
2/15/1999,0.8909
2/16/1999,0.8927
2/17/1999,0.8892
2/18/1999,0.8928
2/19/1999,0.9028
2/22/1999,0.9062
2/23/1999,0.9084
2/24/1999,0.909
2/25/1999,0.9056
2/26/1999,0.907
3/1/1999,0.9183
3/2/1999,0.9145
3/3/1999,0.9187
3/4/1999,0.9251
3/5/1999,0.9232
3/8/1999,0.9187
3/9/1999,0.9185
3/10/1999,0.9136
3/11/1999,0.9066
3/12/1999,0.9164
3/15/1999,0.914
3/16/1999,0.9097
3/17/1999,0.9093
3/18/1999,0.9115
3/19/1999,0.9178
3/22/1999,0.9161
3/23/1999,0.9162
3/24/1999,0.92
3/25/1999,0.923
3/26/1999,0.9285
3/29/1999,0.9316
3/30/1999,0.9325
3/31/1999,0.9285
4/1/1999,0.9261
4/2/1999,0.9264
4/5/1999,0.9331
4/6/1999,0.9229
4/7/1999,0.9285
4/8/1999,0.9293
4/9/1999,0.9255
4/12/1999,0.9253
4/13/1999,0.9274
4/14/1999,0.9257
4/15/1999,0.9344
4/16/1999,0.9336
4/19/1999,0.9374
4/20/1999,0.9411
4/21/1999,0.9446
4/22/1999,0.9392
4/23/1999,0.9429
4/26/1999,0.9441
4/27/1999,0.9377
4/28/1999,0.9409
4/29/1999,0.9423
4/30/1999,0.9461
5/3/1999,0.9466
5/4/1999,0.9405
5/5/1999,0.9291
5/6/1999,0.9273
5/7/1999,0.9297
5/10/1999,0.9275
5/11/1999,0.934
5/12/1999,0.9389
5/13/1999,0.9386
5/14/1999,0.9383
5/17/1999,0.9377
5/18/1999,0.9363
5/19/1999,0.9378
5/20/1999,0.9414
5/21/1999,0.9443
5/24/1999,0.9429
5/25/1999,0.9422
5/26/1999,0.9579
5/27/1999,0.9587
5/28/1999,0.9588
5/31/1999,0.9595
6/1/1999,0.9566
6/2/1999,0.9653
6/3/1999,0.9687
6/4/1999,0.9637
6/7/1999,0.9707
6/8/1999,0.9555
6/9/1999,0.9551
6/10/1999,0.954
6/11/1999,0.9511
6/14/1999,0.9595
6/15/1999,0.9592
6/16/1999,0.9701
6/17/1999,0.9665
6/18/1999,0.962
6/21/1999,0.9662
6/22/1999,0.9683
6/23/1999,0.9674
6/24/1999,0.9614
6/25/1999,0.9588
6/28/1999,0.9677
6/29/1999,0.9686
6/30/1999,0.9655
7/1/1999,0.977
7/2/1999,0.9758
7/5/1999,0.9783
7/6/1999,0.9767
7/7/1999,0.9786
7/8/1999,0.9786
7/9/1999,0.9804
7/12/1999,0.9857
7/13/1999,0.9838
7/14/1999,0.98
7/15/1999,0.9814
7/16/1999,0.9804
7/19/1999,0.9697
7/20/1999,0.9606
7/21/1999,0.9497
7/22/1999,0.9518
7/23/1999,0.951
7/26/1999,0.9384
7/27/1999,0.9405
7/28/1999,0.9375
7/29/1999,0.9325
7/30/1999,0.9339
8/2/1999,0.9355
8/3/1999,0.9365
8/4/1999,0.9282
8/5/1999,0.9291
8/6/1999,0.9317
8/9/1999,0.9325
8/10/1999,0.9341
8/11/1999,0.9385
8/12/1999,0.9365
8/13/1999,0.9465
8/16/1999,0.9449
8/17/1999,0.952
8/18/1999,0.9506
8/19/1999,0.9396
8/20/1999,0.9367
8/23/1999,0.9533
8/24/1999,0.9486
8/25/1999,0.959
8/26/1999,0.9562
8/27/1999,0.9556
8/30/1999,0.9537
8/31/1999,0.9466
9/1/1999,0.945
9/2/1999,0.9355
9/3/1999,0.9423
9/6/1999,0.945
9/7/1999,0.9445
9/8/1999,0.9435
9/9/1999,0.9486
9/10/1999,0.9652
9/13/1999,0.9592
9/14/1999,0.9655
9/15/1999,0.9609
9/16/1999,0.9628
9/17/1999,0.9592
9/20/1999,0.9657
9/21/1999,0.9529
9/22/1999,0.9578
9/23/1999,0.9521
9/24/1999,0.9583
9/27/1999,0.9561
9/28/1999,0.9503
9/29/1999,0.9397
9/30/1999,0.936
10/1/1999,0.9327
10/4/1999,0.9314
10/5/1999,0.9313
10/6/1999,0.9355
10/7/1999,0.9335
10/8/1999,0.9404
10/11/1999,0.9404
10/12/1999,0.9284
10/13/1999,0.9253
10/14/1999,0.9281
10/15/1999,0.9179
10/18/1999,0.9246
10/19/1999,0.9236
10/20/1999,0.9303
10/21/1999,0.9256
10/22/1999,0.9353
10/25/1999,0.9365
10/26/1999,0.9439
10/27/1999,0.9507
10/28/1999,0.9505
10/29/1999,0.9476
11/1/1999,0.951
11/2/1999,0.9507
11/3/1999,0.9537
11/4/1999,0.9636
11/5/1999,0.9601
11/8/1999,0.9626
11/9/1999,0.9611
11/10/1999,0.9569
11/11/1999,0.9607
11/12/1999,0.9691
11/15/1999,0.9678
11/16/1999,0.971
